Loan ID,Borrower Name,Branch,RM,Province,City / Town,Loan Product,Sector,Collateral Type,Issue Date,Maturity Date,Tenor (Mo),"Loan Amt
(USD)","Outstanding
(USD)","Int Rate
(%)","Annual Income
(USD)","DTI
(%)",DSCR,"Credit
Score","Emp Length
(Yrs)","Collateral
Value (USD)","LTV
(%)","Revol Util
(%)",DPD,"Missed
Pmts","Part
Pmts","Bank Bal
Trend","Inflation
Exp","Forex
Income",Loan Status
CNB-012279,Kudzie Mukai,Victoria Falls Branch,F. Moyo,Harare Metropolitan,Harare,Export Finance,Hospitality & tourism,Motor vehicle,13/8/2020,3/8/2022,24,"$4,100","$1,148",16.40%,"$21,000",25.30%,3.48x,730,5,"$2,823",40.70%,41.70%,0,0,1,Stable,Medium,No,Performing
CNB-012280,Chisomo Taguta,Masvingo Branch,M. Ndlovu,Harare Metropolitan,Harare,SME Working Capital Loan,Manufacturing,Salary cession,1/5/2020,16/4/2023,36,"$6,700","$1,876",31.70%,"$34,700",47.40%,1.40x,646,2,"$4,143",45.30%,57.30%,14,0,1,Stable,High,No,Special mention
CNB-012281,Zodwa Nyamupingidza,Kwekwe Branch,S. Dube,Midlands,Kwekwe,Salary-Backed Loan,Construction,Company guarantee,10/11/2020,5/11/2021,12,"$36,300","$10,164",50.80%,"$65,800",82.40%,0.83x,362,5,"$23,242",43.70%,93.80%,60,3,1,Declining,High,No,Non-performing
CNB-012282,Kudzie Mutsvairo,Bulawayo Main,B. Makoni,Harare Metropolitan,Epworth,Microfinance Loan,Transport & logistics,Commercial property,4/10/2020,2/1/2021,3,"$41,000","$11,480",37.40%,"$57,900",57.90%,1.17x,432,3,"$31,981",35.90%,77.40%,0,3,1,Severely declining,Medium,No,Special mention
CNB-012283,Ntombifuthi Makamba,Kwekwe Branch,T. Chinyoka,Mashonaland East,Marondera,Import Finance,Transport & logistics,Personal guarantee,2/8/2019,31/10/2019,3,"$2,000",$560,16.30%,"$12,100",27.80%,3.49x,826,7,$806,69.50%,32.20%,0,0,0,Improving,Low,Yes,Performing
CNB-012284,Tonderai Mutinhiri,Masvingo Branch,M. Ndlovu,Harare Metropolitan,Harare,Digital Business Loan,Informal trade,Stock/inventory pledge,7/11/2023,5/2/2024,3,"$2,200",$616,51.70%,"$7,500",66.30%,0.72x,356,25,"$1,358",45.30%,95.30%,30,5,1,Severely declining,High,No,Non-performing
CNB-012285,Fortune Nkala,Masvingo Branch,T. Chinyoka,Harare Metropolitan,Harare,Equipment Finance,Manufacturing,Residential property,28/7/2023,12/7/2026,36,"$33,100","$23,589",51.40%,"$72,100",67.30%,0.86x,280,15,"$34,323",68.70%,86.10%,150,3,4,Severely declining,High,No,Non-performing
CNB-012286,Nomatter Phiri,Victoria Falls Branch,D. Rusike,Harare Metropolitan,Harare,School Fees Loan,Agriculture,Personal guarantee,30/10/2020,23/4/2022,18,"$108,000","$30,240",40.00%,"$466,600",97.00%,0.80x,295,2,"$45,912",65.90%,86.60%,90,4,4,Severely declining,High,No,Non-performing
CNB-012287,Enias Maposa,Kwekwe Branch,L. Charamba,Harare Metropolitan,Harare,SME Working Capital Loan,Retail trade,Commercial vehicle,12/1/2022,2/1/2024,24,"$4,400","$1,232",33.00%,"$19,300",55.10%,0.80x,479,10,"$1,119",110.10%,78.80%,30,2,1,Declining,High,No,Watch
CNB-012288,Trust Msipa,Chinhoyi Branch,C. Sibanda,Midlands,Gweru,Property Development Loan,Retail trade,Personal guarantee,23/1/2020,21/7/2020,6,"$39,300","$11,004",16.10%,"$304,200",31.70%,3.70x,809,10,"$27,529",40.00%,39.40%,0,1,1,Improving,Medium,Yes,Performing
CNB-012289,Mudiwa Mapfumo,Harare Main,G. Mutasa,Manicaland,Mutare,Export Finance,Real estate,Motor vehicle,27/11/2020,17/11/2022,24,"$3,900","$1,092",36.90%,"$6,500",72.50%,0.93x,457,7,"$2,545",42.90%,72.70%,60,2,1,Stable,Medium,No,Watch
CNB-012290,Phenias Phidza,Mutare Branch,A. Nkomo,Bulawayo Metropolitan,Bulawayo,Salary-Backed Loan,Education,Personal guarantee,23/6/2024,15/12/2025,18,"$92,100","$79,820",27.30%,"$274,900",47.30%,1.52x,577,7,"$138,594",57.60%,70.50%,0,2,1,Stable,Medium,Yes,Special mention
CNB-012291,Sipho Muguti,Bulawayo Main,H. Zimba,Mashonaland East,Marondera,Digital Business Loan,Retail trade,Motor vehicle,24/8/2021,3/8/2025,48,"$23,600","$10,219",16.80%,"$94,800",10.30%,2.17x,702,3,"$15,113",67.60%,22.40%,0,0,1,Improving,Medium,No,Performing
CNB-012292,Simbarashe Landa,Mutare Branch,C. Sibanda,Harare Metropolitan,Harare,Transport Fleet Finance,Agriculture,Share pledge,26/10/2019,23/4/2020,6,"$17,400","$4,872",30.50%,"$44,200",57.50%,1.06x,411,1,"$12,495",39.00%,87.00%,0,2,3,Severely declining,High,No,Watch
CNB-012293,Onai Zizhou,Beitbridge Branch,G. Mutasa,Manicaland,Mutare,Property Development Loan,Agriculture,Share pledge,28/9/2019,12/9/2022,36,"$3,900","$1,092",25.40%,"$12,400",46.00%,1.30x,656,0,"$1,378",79.30%,69.30%,14,0,1,Stable,High,No,Special mention
CNB-012294,Munashe Musarurwa,Masvingo Branch,A. Nkomo,Mashonaland West,Kadoma,Property Development Loan,Agriculture,Stock/inventory pledge,13/10/2023,7/10/2024,12,"$29,100","$8,497",23.50%,"$210,200",35.00%,1.23x,522,10,"$22,310",38.10%,66.20%,0,1,1,Stable,Low,No,Performing
CNB-012295,Admire Sithole,Chitungwiza Branch,N. Gumbo,Harare Metropolitan,Chitungwiza,Trade Finance Facility,Mining,Commercial vehicle,6/10/2022,20/9/2025,36,"$4,500","$2,322",20.70%,"$14,900",9.10%,3.58x,753,2,"$2,111",110.00%,20.20%,7,0,0,Stable,Low,Yes,Special mention
CNB-012296,Chisomo Mhike,Chinhoyi Branch,E. Mapfumo,Harare Metropolitan,Harare,Agricultural Input Finance,Retail trade,Equipment & machinery,24/5/2024,14/5/2026,24,"$5,800","$5,046",34.70%,"$11,400",52.00%,1.17x,480,2,"$13,145",38.40%,76.70%,0,2,3,Stable,High,No,Watch
CNB-012297,Rutendo Mnkandla,Bulawayo Main,T. Chinyoka,Manicaland,Mutare,Green Energy Loan,Agriculture,Company guarantee,18/2/2021,23/1/2026,60,"$34,100","$16,082",26.70%,"$229,900",38.00%,1.34x,555,20,"$33,262",48.30%,58.90%,30,2,0,Declining,High,No,Special mention
CNB-012298,Kudzai Ntuli,Masvingo Branch,F. Moyo,Bulawayo Metropolitan,Bulawayo,Import Finance,Retail trade,Fixed deposit cession,6/10/2022,4/4/2023,6,"$3,700","$1,036",27.30%,"$11,500",36.50%,1.60x,545,1,"$2,595",39.90%,52.10%,0,0,2,Declining,Low,Yes,Special mention
CNB-012299,Ropah Msipa,Victoria Falls Branch,H. Zimba,Midlands,Zvishavane,Microfinance Loan,Real estate,Residential property,21/2/2019,16/2/2020,12,"$23,600","$6,608",43.20%,"$40,200",91.70%,0.46x,307,7,"$10,343",63.90%,78.80%,180,3,1,Severely declining,High,No,Non-performing
CNB-012300,Rudo Chikafu,Masvingo Branch,G. Mutasa,Midlands,Kwekwe,Medical Finance,Retail trade,Salary cession,6/6/2024,1/6/2025,12,"$4,700","$3,600",41.10%,"$11,400",82.80%,0.60x,434,5,"$3,906",92.20%,92.30%,30,6,3,Declining,High,No,Non-performing
CNB-012301,Tawanda Chikwanda,Bulawayo Main,T. Chinyoka,Mashonaland West,Kadoma,Import Finance,Manufacturing,Equipment & machinery,23/11/2020,18/11/2021,12,"$35,600","$9,968",22.00%,"$102,200",8.30%,2.33x,727,3,"$13,892",71.80%,34.40%,0,0,0,Improving,Medium,No,Performing
CNB-012302,Ntombifuthi Jiri,Beitbridge Branch,C. Sibanda,Mashonaland Central,Bindura,Equipment Finance,Hospitality & tourism,Commercial vehicle,21/4/2020,11/4/2022,24,"$2,300",$644,22.40%,"$15,000",30.20%,1.47x,638,1,"$1,452",44.30%,71.30%,0,2,1,Stable,Low,No,Special mention
CNB-012303,Nomvula Mhike,Chitungwiza Branch,F. Moyo,Bulawayo Metropolitan,Bulawayo,Medical Finance,Financial services,Salary cession,31/5/2020,26/5/2021,12,$600,$168,23.70%,"$4,500",10.20%,3.59x,807,3,$196,85.70%,32.20%,7,0,0,Stable,Medium,No,Special mention
CNB-012304,Nomthandazo Nyamudeza,Harare Main,D. Rusike,Masvingo,Masvingo,Export Finance,Real estate,Company guarantee,5/6/2020,27/11/2021,18,"$14,200","$3,976",42.00%,"$56,800",69.20%,0.81x,355,10,"$10,410",38.20%,97.10%,60,4,4,Severely declining,High,No,Non-performing
CNB-012305,Thandeka Mahachi,Mutare Branch,N. Gumbo,Matabeleland North,Victoria Falls,Trade Finance Facility,Retail trade,Stock/inventory pledge,6/3/2019,27/8/2020,18,"$42,600","$11,928",30.00%,"$75,500",43.00%,1.22x,662,0,"$31,431",38.00%,39.10%,0,1,0,Stable,Medium,No,Special mention
CNB-012306,Dorcas Nkala,Chitungwiza Branch,T. Chinyoka,Harare Metropolitan,Harare,Trade Finance Facility,Transport & logistics,Equipment & machinery,11/7/2022,30/6/2024,24,"$12,200","$3,416",36.10%,"$74,900",48.80%,0.81x,399,10,"$5,964",57.30%,84.90%,30,3,0,Declining,High,Yes,Watch
CNB-012307,Vimbai Tapfuma,Gweru Branch,F. Moyo,Harare Metropolitan,Harare,Trade Finance Facility,Agriculture,Motor vehicle,14/12/2023,3/12/2025,24,"$6,200","$4,390",37.90%,"$34,700",57.00%,1.17x,485,10,"$3,048",144.00%,84.50%,0,3,0,Declining,High,No,Watch
CNB-012308,Tamara Gumbo,Harare Main,M. Ndlovu,Manicaland,Mutare,Agro-processing Loan,Mining,Residential property,21/6/2023,5/6/2026,36,"$4,000","$2,752",35.50%,"$23,900",55.40%,0.93x,520,5,"$6,946",39.60%,86.70%,14,1,3,Declining,Medium,No,Watch
CNB-012309,Munyaradzi Zulu,Chitungwiza Branch,M. Ndlovu,Harare Metropolitan,Harare,Medical Finance,Agriculture,Motor vehicle,13/10/2021,3/10/2023,24,"$59,000","$16,520",30.00%,"$466,100",52.90%,1.04x,401,7,"$45,350",36.40%,87.00%,90,4,1,Declining,Medium,No,Watch
CNB-012310,Ruramai Muguti,Masvingo Branch,M. Ndlovu,Masvingo,Chiredzi,Export Finance,Manufacturing,Personal guarantee,28/6/2020,20/12/2021,18,"$5,900","$1,652",20.50%,"$19,500",14.30%,2.59x,757,2,"$4,286",38.50%,38.10%,0,0,1,Declining,Medium,Yes,Performing
CNB-012311,Kudzie Charamba,Harare Main,A. Nkomo,Mashonaland Central,Bindura,School Fees Loan,Retail trade,Residential property,23/4/2020,15/10/2021,18,"$22,600","$6,328",23.70%,"$49,700",27.70%,2.58x,827,5,"$8,729",72.50%,19.90%,0,1,1,Improving,Medium,Yes,Performing
CNB-012312,Sandile Chirwa,Kwekwe Branch,C. Sibanda,Midlands,Gweru,Trade Finance Facility,Hospitality & tourism,Company guarantee,8/9/2020,7/3/2021,6,"$1,400",$392,31.00%,"$2,300",56.00%,1.14x,467,25,"$1,033",38.00%,70.90%,60,3,2,Declining,High,No,Watch
CNB-012313,Sithembile Mwale,Kwekwe Branch,A. Nkomo,Harare Metropolitan,Harare,Agricultural Input Finance,Retail trade,Commercial property,12/4/2019,6/4/2020,12,"$23,000","$6,440",39.20%,"$54,800",64.40%,0.90x,482,10,"$12,444",51.80%,81.10%,60,4,1,Declining,High,Yes,Watch
CNB-012314,Givemore Jiri,Chinhoyi Branch,R. Ncube,Harare Metropolitan,Harare,Equipment Finance,Retail trade,Share pledge,11/4/2019,2/10/2020,18,"$18,200","$5,096",38.60%,"$33,300",57.00%,1.17x,479,2,"$6,490",78.50%,87.30%,45,3,0,Severely declining,High,No,Watch
CNB-012315,Rutendo Malunga,Bulawayo Main,R. Ncube,Harare Metropolitan,Harare,Microfinance Loan,Agriculture,Equipment & machinery,1/12/2023,29/5/2024,6,"$2,000",$560,23.30%,"$2,800",31.50%,2.02x,832,5,"$1,287",43.50%,26.90%,0,1,1,Stable,Medium,Yes,Performing
CNB-012316,Farai Nyamupingidza,Victoria Falls Branch,P. Mhlanga,Mashonaland Central,Bindura,Agricultural Input Finance,Informal trade,Residential property,26/1/2022,20/7/2023,18,"$53,700","$15,036",30.10%,"$193,900",51.30%,1.29x,627,3,"$30,630",49.10%,68.30%,0,1,0,Improving,Medium,No,Performing
CNB-012317,Rudo Jiri,Gweru Branch,M. Ndlovu,Mashonaland Central,Bindura,Agricultural Input Finance,Education,Company guarantee,5/7/2021,9/6/2026,60,"$5,200","$2,737",23.40%,"$28,800",54.20%,1.67x,679,15,"$2,325",117.70%,60.00%,0,2,2,Stable,Low,No,Performing
CNB-012318,Nyasha Makoni,Harare Main,P. Mhlanga,Bulawayo Metropolitan,Bulawayo,Import Finance,Agriculture,Share pledge,28/2/2020,21/8/2021,18,$600,$168,17.60%,"$4,100",25.40%,2.40x,759,3,$149,113.10%,36.00%,0,0,0,Improving,Low,No,Performing
CNB-012319,Tariro Makoni,Victoria Falls Branch,N. Gumbo,Harare Metropolitan,Harare,Medical Finance,Education,Salary cession,27/8/2022,16/8/2024,24,"$3,100",$868,43.10%,"$23,300",77.00%,0.39x,339,10,$891,97.50%,86.80%,60,3,4,Declining,High,No,Non-performing
CNB-012320,Tapuwa Nkomazana,Kwekwe Branch,M. Ndlovu,Midlands,Kwekwe,Salary-Backed Loan,Mining,Salary cession,1/4/2019,22/9/2020,18,"$8,300","$2,324",49.20%,"$31,100",65.30%,0.70x,327,5,"$3,954",58.80%,82.00%,150,5,1,Severely declining,Medium,No,Non-performing
CNB-012321,Tsitsi Mutsvairo,Masvingo Branch,P. Mhlanga,Matabeleland North,Hwange,Women in Business Loan,Agriculture,Commercial vehicle,22/7/2019,11/7/2021,24,"$5,500","$1,540",16.80%,"$27,100",28.50%,2.29x,819,5,"$2,853",54.00%,24.60%,0,1,0,Improving,Medium,Yes,Performing
CNB-012322,Ngonidzashe Khumalo,Gweru Branch,A. Nkomo,Midlands,Kwekwe,Microfinance Loan,Retail trade,Company guarantee,19/12/2019,13/12/2020,12,"$79,600","$22,288",22.10%,"$414,900",40.70%,1.33x,529,5,"$52,939",42.10%,66.90%,0,0,1,Declining,Medium,No,Performing
CNB-012323,Munyaradzi Tshuma,Victoria Falls Branch,R. Ncube,Midlands,Gweru,Youth Enterprise Loan,Retail trade,Motor vehicle,15/2/2024,30/1/2027,36,"$32,400","$27,454",38.00%,"$151,000",86.70%,0.33x,282,10,"$35,911",76.40%,87.70%,90,6,4,Severely declining,High,No,Watch
CNB-012324,Sipho Nkomazana,Bulawayo Main,E. Mapfumo,Masvingo,Masvingo,Import Finance,Financial services,Motor vehicle,29/11/2019,23/11/2020,12,$900,$252,22.00%,"$4,900",30.70%,2.02x,816,10,$390,64.50%,23.30%,0,1,0,Stable,Medium,No,Performing
CNB-012325,Mudiwa Muchena,Beitbridge Branch,E. Mapfumo,Midlands,Redcliff,Salary-Backed Loan,Real estate,Agricultural land,17/2/2019,12/2/2020,12,"$7,800","$2,184",36.90%,"$32,900",72.50%,0.77x,420,1,"$2,594",84.20%,63.40%,30,2,0,Severely declining,High,Yes,Special mention
CNB-012326,Danai Mwanza,Mutare Branch,R. Ncube,Mashonaland East,Marondera,Equipment Finance,Construction,Residential property,31/1/2019,24/7/2020,18,"$22,500","$6,300",34.70%,"$147,900",57.00%,1.07x,559,1,"$3,833",164.40%,86.20%,60,2,0,Severely declining,High,No,Watch
CNB-012327,Tariro Zizhou,Beitbridge Branch,A. Nkomo,Manicaland,Mutare,Transport Fleet Finance,ICT & telecoms,Commercial property,31/12/2022,15/12/2025,36,"$3,300","$1,892",31.40%,"$21,300",65.30%,0.79x,390,1,"$2,797",67.70%,91.40%,14,3,1,Severely declining,High,Yes,Watch
CNB-012328,Zviko Ncube,Mutare Branch,G. Mutasa,Masvingo,Masvingo,Salary-Backed Loan,Health & pharmaceuticals,Fixed deposit cession,27/11/2019,25/2/2020,3,"$3,200",$896,35.50%,"$21,100",68.30%,0.81x,540,3,"$1,078",83.10%,79.60%,30,2,2,Stable,High,No,Watch
CNB-012329,Tapiwa Mugabe,Chitungwiza Branch,T. Chinyoka,Midlands,Zvishavane,Green Energy Loan,Agriculture,Residential property,22/4/2021,12/4/2023,24,$300,$84,21.10%,"$1,900",23.20%,1.80x,789,15,$120,70.20%,9.20%,0,0,1,Declining,Medium,Yes,Performing
CNB-012330,Mxolisi Chikwanda,Gweru Branch,H. Zimba,Midlands,Kwekwe,Microfinance Loan,Agriculture,No collateral,18/9/2023,12/9/2024,12,"$61,700","$17,276",22.90%,"$181,600",31.20%,3.21x,693,3,$0,,15.10%,0,0,0,Stable,Medium,Yes,Performing
CNB-012331,Sibonelo Charamba,Kwekwe Branch,A. Nkomo,Matabeleland North,Hwange,Green Energy Loan,Hospitality & tourism,Residential property,24/7/2019,13/7/2021,24,"$9,100","$2,548",48.60%,"$13,000",79.00%,0.81x,423,2,"$5,155",49.40%,89.50%,120,7,3,Severely declining,High,No,Non-performing
CNB-012332,Nomthandazo Maposa,Mutare Branch,A. Nkomo,Bulawayo Metropolitan,Bulawayo,Trade Finance Facility,ICT & telecoms,Commercial property,12/5/2022,1/5/2024,24,$700,$196,19.70%,"$2,700",10.90%,2.56x,757,5,$505,38.80%,26.60%,0,0,1,Stable,Medium,Yes,Performing
CNB-012333,Patience Gova,Masvingo Branch,B. Makoni,Matabeleland North,Victoria Falls,Equipment Finance,Agriculture,Equipment & machinery,26/12/2019,15/12/2021,24,"$3,700","$1,036",17.20%,"$22,600",23.50%,3.91x,809,15,"$2,721",38.10%,38.40%,0,1,1,Stable,Low,Yes,Performing
CNB-012334,Chiedza Phiri,Gweru Branch,H. Zimba,Masvingo,Masvingo,Youth Enterprise Loan,Manufacturing,Share pledge,27/2/2023,16/2/2025,24,"$7,200","$3,010",23.20%,"$56,000",35.60%,1.82x,668,3,"$5,571",54.00%,65.40%,7,1,0,Declining,High,No,Special mention
CNB-012335,Dumisani Takaindisa,Masvingo Branch,M. Ndlovu,Masvingo,Masvingo,Export Finance,Hospitality & tourism,Personal guarantee,27/2/2022,6/2/2026,48,"$4,200","$2,211",21.50%,"$13,400",30.00%,2.83x,789,10,"$5,054",43.80%,19.50%,0,0,0,Stable,Low,Yes,Performing
CNB-012336,Tichaona Muchena,Gweru Branch,N. Gumbo,Matabeleland North,Hwange,Medical Finance,Transport & logistics,Company guarantee,19/4/2022,3/4/2025,36,"$5,000","$2,013",22.50%,"$17,100",49.40%,1.50x,611,3,"$3,741",53.80%,70.90%,7,0,0,Declining,High,No,Special mention
CNB-012337,Sipho Charamba,Bulawayo Main,S. Dube,Midlands,Zvishavane,SME Working Capital Loan,Health & pharmaceuticals,No collateral,12/8/2020,7/8/2021,12,"$112,300","$31,444",16.10%,"$730,100",12.10%,3.37x,680,7,$0,,25.00%,0,1,0,Stable,Medium,No,Performing
CNB-012338,Tafadzwa Nkosi,Chitungwiza Branch,B. Makoni,Bulawayo Metropolitan,Bulawayo,Green Energy Loan,Construction,Residential property,11/1/2019,31/12/2020,24,"$6,000","$1,680",26.60%,"$25,300",52.50%,1.74x,677,10,"$1,545",108.80%,58.20%,14,2,2,Declining,High,No,Special mention
CNB-012339,Mthulisi Zvobgo,Gweru Branch,G. Mutasa,Harare Metropolitan,Harare,SME Working Capital Loan,Informal trade,Commercial vehicle,13/2/2022,12/8/2022,6,"$4,200","$1,176",18.50%,"$23,700",8.50%,3.62x,702,20,"$2,753",42.70%,41.70%,0,0,1,Stable,Medium,Yes,Performing
CNB-012340,Dzikamai Shumba,Chitungwiza Branch,G. Mutasa,Bulawayo Metropolitan,Bulawayo,Green Energy Loan,Agriculture,Motor vehicle,6/6/2023,31/5/2024,12,"$4,400","$1,232",20.00%,"$16,700",13.80%,3.09x,711,2,"$1,263",97.60%,17.50%,0,1,0,Stable,Medium,No,Performing
CNB-012341,Lovemore Mutsvairo,Victoria Falls Branch,B. Makoni,Harare Metropolitan,Chitungwiza,Transport Fleet Finance,Hospitality & tourism,Commercial property,6/11/2022,1/11/2023,12,"$4,200","$1,176",17.90%,"$22,200",21.70%,1.95x,762,25,"$2,628",44.80%,14.30%,0,1,1,Stable,Low,Yes,Performing
CNB-012342,Nkosana Malunga,Bulawayo Main,B. Makoni,Bulawayo Metropolitan,Bulawayo,Youth Enterprise Loan,Transport & logistics,Personal guarantee,7/2/2024,31/7/2025,18,"$4,500","$3,078",23.70%,"$7,900",12.60%,2.19x,823,15,"$7,745",39.70%,27.50%,0,1,0,Stable,Low,No,Performing
CNB-012343,Nomvula Dziva,Kwekwe Branch,E. Mapfumo,Midlands,Kwekwe,Women in Business Loan,Agriculture,Equipment & machinery,9/4/2024,6/10/2024,6,"$38,200","$11,460",31.10%,"$90,300",34.10%,1.66x,597,0,"$22,553",50.80%,57.40%,7,1,0,Declining,Medium,No,Special mention
CNB-012344,Lindiwe Mnkandla,Kwekwe Branch,R. Ncube,Harare Metropolitan,Harare,Green Energy Loan,Agro-processing,Motor vehicle,2/7/2020,27/6/2021,12,"$2,800",$784,19.50%,"$13,800",18.20%,1.79x,828,15,"$1,849",42.40%,33.30%,0,1,0,Improving,Low,Yes,Performing
CNB-012345,Thandeka Mapfumo,Gweru Branch,A. Nkomo,Masvingo,Masvingo,Equipment Finance,Manufacturing,Commercial property,16/10/2023,14/1/2024,3,"$1,500",$420,31.00%,"$6,600",53.60%,1.37x,657,15,$415,101.20%,69.90%,14,1,2,Declining,High,Yes,Special mention
CNB-012346,Rumbidzai Mafunda,Gweru Branch,A. Nkomo,Harare Metropolitan,Harare,Transport Fleet Finance,Agriculture,Commercial property,24/12/2020,14/12/2022,24,"$2,200",$616,22.30%,"$16,100",19.20%,2.58x,820,5,"$1,474",41.80%,11.10%,0,0,0,Improving,Medium,Yes,Performing
CNB-012347,Gracious Jiri,Chitungwiza Branch,L. Charamba,Bulawayo Metropolitan,Bulawayo,Trade Finance Facility,Retail trade,Equipment & machinery,24/5/2023,18/5/2024,12,"$9,800","$2,744",44.40%,"$66,000",84.00%,0.67x,302,2,"$4,288",64.00%,85.40%,60,2,3,Severely declining,High,No,Non-performing
CNB-012348,Tonderai Majoni,Chitungwiza Branch,T. Chinyoka,Masvingo,Masvingo,Equipment Finance,Retail trade,Commercial property,16/1/2021,10/7/2022,18,"$3,200",$896,26.00%,"$13,900",31.00%,1.35x,619,15,"$1,474",60.80%,42.50%,7,1,2,Improving,Medium,No,Special mention
CNB-012349,Tatenda Zimba,Harare Main,L. Charamba,Matabeleland North,Victoria Falls,Import Finance,Hospitality & tourism,Residential property,7/11/2021,28/10/2023,24,"$1,800",$504,34.10%,"$5,300",73.40%,0.98x,522,20,"$1,147",44.00%,73.20%,60,2,3,Stable,High,No,Watch
CNB-012350,Tawanda Pfukwa,Chinhoyi Branch,G. Mutasa,Harare Metropolitan,Harare,Agricultural Input Finance,Transport & logistics,Personal guarantee,4/8/2022,19/7/2025,36,"$1,200",$569,39.90%,"$7,800",61.20%,0.97x,532,10,"$1,579",36.00%,71.20%,0,2,0,Severely declining,Medium,No,Special mention
CNB-012351,Simba Mafunda,Mutare Branch,P. Mhlanga,Mashonaland West,Chinhoyi,Property Development Loan,Transport & logistics,Fixed deposit cession,7/6/2019,27/5/2021,24,"$1,000",$280,23.50%,"$6,700",37.30%,1.23x,678,10,$377,74.30%,54.30%,14,1,0,Improving,Medium,Yes,Special mention
CNB-012352,Tapuwa Zizhou,Chitungwiza Branch,R. Ncube,Midlands,Gweru,Digital Business Loan,Manufacturing,Commercial vehicle,3/3/2022,25/8/2023,18,"$36,200","$10,136",28.00%,"$284,700",43.10%,1.56x,662,7,"$7,914",128.10%,70.60%,14,1,0,Stable,Medium,No,Special mention
CNB-012353,Gracious Madzivire,Victoria Falls Branch,S. Dube,Manicaland,Mutare,Microfinance Loan,Agriculture,No collateral,10/9/2022,9/3/2023,6,"$3,900","$1,092",26.80%,"$24,100",53.60%,1.78x,676,10,$0,,69.30%,0,1,1,Stable,Medium,No,Special mention
CNB-012354,Nomthandazo Majoni,Victoria Falls Branch,L. Charamba,Bulawayo Metropolitan,Bulawayo,Agro-processing Loan,Retail trade,Agricultural land,7/1/2022,1/7/2023,18,$400,$112,33.00%,"$1,400",70.80%,0.77x,538,3,$166,67.40%,67.60%,90,1,1,Stable,High,No,Watch
CNB-012355,Mduduzi Rusike,Gweru Branch,T. Chinyoka,Mashonaland East,Marondera,Women in Business Loan,Agriculture,Personal guarantee,27/6/2019,11/6/2022,36,"$1,900",$532,24.70%,"$4,400",48.90%,1.20x,566,7,$926,57.50%,52.60%,14,1,0,Declining,High,No,Special mention
CNB-012356,Tamara Mapfumo,Beitbridge Branch,P. Mhlanga,Masvingo,Masvingo,Microfinance Loan,Transport & logistics,Equipment & machinery,8/5/2024,2/4/2031,84,"$10,500","$10,062",22.60%,"$40,500",42.30%,1.71x,582,0,"$22,345",45.00%,61.80%,7,0,0,Stable,Medium,No,Special mention
CNB-012357,Rudo Chiweshe,Gweru Branch,N. Gumbo,Manicaland,Mutare,Salary-Backed Loan,Manufacturing,Fixed deposit cession,22/7/2020,7/7/2023,36,"$3,800","$1,064",45.50%,"$6,500",76.90%,0.65x,344,15,"$1,908",55.80%,78.10%,60,6,1,Severely declining,High,No,Non-performing
CNB-012358,Thandeka Ushamba,Kwekwe Branch,F. Moyo,Harare Metropolitan,Harare,Youth Enterprise Loan,Manufacturing,Personal guarantee,8/10/2022,22/9/2025,36,"$34,700","$17,951",25.50%,"$172,600",42.20%,1.75x,569,7,"$48,795",36.80%,56.40%,0,2,2,Improving,Low,Yes,Special mention
CNB-012359,Mthokozisi Makamba,Harare Main,E. Mapfumo,Mashonaland West,Norton,SME Working Capital Loan,Retail trade,Agricultural land,30/8/2019,24/8/2020,12,"$1,100",$308,22.10%,"$6,900",53.80%,1.61x,641,0,$395,77.90%,66.10%,0,0,2,Declining,Medium,No,Performing
CNB-012360,Dumisani Ntuli,Bulawayo Main,H. Zimba,Midlands,Zvishavane,Equipment Finance,Manufacturing,No collateral,14/6/2021,6/12/2022,18,"$1,600",$448,25.70%,"$4,600",36.40%,1.37x,578,5,$0,,39.00%,7,1,0,Stable,High,Yes,Special mention
CNB-012361,Tawanda Taruvinga,Masvingo Branch,R. Ncube,Midlands,Gweru,Agro-processing Loan,Agriculture,Salary cession,25/4/2022,20/4/2023,12,"$5,800","$1,624",33.40%,"$30,600",61.40%,0.90x,415,5,"$1,426",113.90%,69.60%,30,3,0,Severely declining,Medium,Yes,Watch
CNB-012362,Lucky Majoni,Gweru Branch,S. Dube,Bulawayo Metropolitan,Bulawayo,Trade Finance Facility,Construction,Commercial property,18/1/2024,11/7/2025,18,"$5,100","$3,352",27.10%,"$26,500",32.90%,1.89x,567,5,"$7,775",43.10%,49.10%,0,0,2,Stable,Medium,No,Special mention
CNB-012363,Kudzie Sithole,Beitbridge Branch,N. Gumbo,Manicaland,Rusape,Import Finance,Mining,No collateral,16/10/2021,11/10/2022,12,"$30,600","$8,568",27.00%,"$123,000",53.10%,1.86x,583,3,$0,,65.90%,0,1,0,Improving,Medium,No,Performing
CNB-012364,Vimbai Hwata,Bulawayo Main,D. Rusike,Bulawayo Metropolitan,Bulawayo,Women in Business Loan,Health & pharmaceuticals,Residential property,15/8/2019,9/8/2020,12,"$20,600","$5,768",27.70%,"$37,200",40.80%,1.21x,538,10,"$9,195",62.70%,42.20%,0,1,2,Stable,Medium,Yes,Special mention
